Id,Topic,Question
1,Personnel Regulations,"Does the Programme Office have national personnel regulations, including a salary scale, adapted and in conformity with local legislation and HO guidelines?"
2,Personnel Regulations,"When new staff is employed, is it ensured that the persons most suitable are recruited transparently and efficiently?"
3,Personnel Regulations,"Is the policy of equal chances assured (Gender, ethnic groups, language) in the recruitment process?"
4,Personnel Regulations,Does the Programme Office ensure that their employees discharge their duties according to their employment contracts?
5,Personnel Regulations,Does the Programme Office ensure that their employees respect the current laws and obligations with regard to their employment?
6,Personnel Regulations,Are the Terms of Reference or job descriptions available for all positions in the Programme Office and the projects?
7,Personnel Regulations,Is the staff performance checked regularly with an annual appraisal and are the necessary development measures agreed upon?
8,Personnel Regulations,Are the necessary measures available for developing staff competences?
9,Personnel Regulations,Are the financial aspects of the employment contracts administered in a regular and effective manner?
10,Personnel Regulations,Is the payroll prepared following appropriate state regulations and the National Personnel Regulations of the Programme Office?
11,Personnel Regulations,Are the payroll records reconciled every month with the Salary Register?
12,Personnel Regulations,"Does the CD / PM monitor the time registration of local staff on a monthly basis? (for those registering in Sangama - based on Sangama Time reports; and for those maintaining in Excel (or other tools), relevant reports)"
13,Personnel Regulations,Does the Programme Office have a timely process for filling vacant positions or in case of absences of the local staff to prevent an interruption of program services or disruption to the organization’s operations?
14,Personnel Regulations,Are the relevant rules and procedures adhered to in case of termination of employment contracts?
15,Personnel Regulations,"If by National Legislation required, is a Gratuity Fund (terminal benefit) system established according to the instructions in the FM HO and managed by the Programme Office based on national regulations?"
16,Internal Controls,"Are the job descriptions of all staff members approved, signed and stored in the Human resources records?"
17,Internal Controls,Do invoice processing procedures provide for checking relevant docuements and the accuracy of calculations?
18,Internal Controls,"Do you implement double signatures bank payments instructions, cheques, and e-banking?"
19,Internal Controls,Do you implement controls over the cash management as per internal rules?
20,Internal Controls,Do you ensure that no one has unauthorised access to the passwords tools of the e-banking connections?
21,Internal Controls,"Is the segregation of duties document for staff responsibilities established and applied? (for e.g., between cashier and accountant)"
22,Internal Controls,Does the Project Office send written confirmation for receipt of funds from Programme office when funds are credited in the project bank account?
23,Internal Controls,"Is there a system of adequate safeguards to protect assets from fraud, waste or mis-use?"
24,Internal Controls,Are the sale and disposal of fixed assets implemented as per policy laid down in the National Finance Manual?
25,Internal Controls,Are regular checks made on the use of vehicles and their mileage?
26,Internal Controls,Are the exceptional private use of office vehicles monitored and costs recovered from the concerned staff?
27,Internal Controls,Are Banana accounting transactions cross checked with the physical vouchers at regular intervals?
28,Internal Controls,Are controls performed over the correctness of the voucher and existance of adequate supporting documents?
29,Internal Controls,Are the controls performed on the correctnes of the calculation of travel advance and expenses claims and approved by the relevant function?
30,Internal Controls,Are all advances and their settlements monitored systematically (using Advance monitoring sheet)?
31,Internal Controls,Are the fund requests sent to Programme Office checked and approved by the authorised signatories?
32,Internal Controls,Are the fund requests verified and signed by the authorised person to confirm their correctness/limits to the annually approved budget?
33,Internal Controls,Are the monthly fund transfers to projects checked and approved by Authorised signatories before issue of instructions to the bank for transfer?
34,Internal Controls,"Are the monthly Banana accounting file, financial reports and annexures for submission to Programme Office verified and approved by authorised persons?"
35,Internal Controls,"Are the monthly bank reconciliation statements checked with accounting records, bank statements and approved by the authorised signatory?"
36,Internal Controls,Are the verifications of the physical assets performed against the asset register on an annual basis (minimum)?
37,Internal Controls,Are the cash payments made within the limit specified in the national finance manual?
38,Internal Controls,Is physical cash stored in a safe under lock and key?
39,Internal Controls,"Are ""receipts"" issued against receipt of cash?"
40,Internal Controls,"Are the cheque books reviewed, controlled, and stored in a safe place?"
41,Internal Controls,"Are the copies of signed cheques issued to vendors/service providers/others, stored as part of the voucher documentation?"
42,Internal Controls,"Are the monthly financial reports produced from Banana accounting file, checked and signed by the Authorised signatories?"
43,Internal Controls,Are the monthly fund requests sent to the Head Office reviewed and approved by the authorised signatories?
44,Internal Controls,Do you obtain the list of authorised signatories to operate bank accounts from the bank and present to the auditors annually?
45,Internal Controls,"Is the list of authorised signatories to operate bank accounts reviewed, checked and updated at regular intervals?"
46,Internal Controls,Does the Programme Office ensure adequate and continuous insurance coverage for all fixed assets across all project units?
47,Internal Controls,Does the Programme Office reconcile the fund transfers made to Project Offices by comparing between PO and Project accounting data?
48,Internal Controls,"Does the Programme Office send written confirmation for receipt of funds to Head Office (with details of funds received, exchange rate etc,.) when funds are credited in the Programme Office bank account?"
49,Internal Controls,Does the Programme Office notify Head Office in case of changes to the Cash flow plan?
50,Internal Controls,Does the Programme Office keep the cash flow planning up to date?
51,Internal Controls,"Does the Programme Office prepare monthly signed financial reporting to Head Office including the Balance Sheet, Statement of Income and Expenses on a timely basis?"
52,Internal Controls,Is the “Delegated Authority Document” reviewed/updated annually to ensure its relevance/validity?
53,Internal Controls,Does the Programme Office have the signature policy and delegated authority documents and are they applied correctly?
54,Internal Controls,Are the internal controls reviewed regularly by internal or annual external audits?
55,Internal Controls,Has the Programme Office established and documented an adequate set of internal controls?
56,Code of Conduct,Does the Programme Office follow the guidelines to introduce appropriate measures to handle cases of misappropriation?
57,Code of Conduct,Does the Programme Office make sure that conflicts of interest are discussed and avoided?
58,Code of Conduct,Does the Programme Office make sure that people affected from a conflict of interest are not in the decision making committee?
59,Code of Conduct,"Are there regular trainings, communication efforts and exchanges on anti- corruption themes to sensitize all staff members in the country on this topic?"
60,Code of Conduct,"Is there a broad understanding of the necessary safety precautions to protect whistleblowers (confidentiality, no retaliation, etc.)?"
61,Code of Conduct,Has the Programme Office introduced the necessary safety precautions to protect whistleblowers?
62,Code of Conduct,Did all staff members sign a written declaration to adhere to the organisation's code of conduct?
63,Code of Conduct,"Are there established processes, which ensure that the Protection from Sexual Exploitation, Abuse and Sexual Harassment (PSEAH) of third parties are guaranteed?"
64,Code of Conduct,"Are there regular trainings and exchanges on safeguarding topics (i.e. bullying, abuse of power, sexual harassment) to sensitize all staff members in the country on this topic?"
65,Code of Conduct,"When evaluating a future partner, is a thorough partner risk assessment conducted (value check, screening against terrorism financing and sanctions, reputation check)?"
66,Code of Conduct,"In case of the receipt or donation of a gift from/to an individual or a third party, is the Programme Office aware of possible risks?"
67,Finance - General,"Does the Program Office and Project Office follow the required measures for VAT reimbursement within the prescribed timeline for VAT exempted projects (EU, World Bank, SDC, others) as applicable?"
68,Finance - General,Are the storage and archiving of finance documents being carried out and maintained for the stipulated duration? (minimum of 10 years storage necessary)
69,Finance - General,"Does the Programme Office comply with the Signature Regulations issued by Head office (refer Pamoja-OHB) (e.g., signing of contracts with donors)"
70,Finance - General,"Does the Programme Office provide training on relevant finance management topics to key staff members at regular intervals? (Finance Manual, Finance Monitoring Manual, Internal Controls and other procedures)"
71,Finance - General,Do all units in the country act in compliance with tax regulations?
72,Finance - General,Does the Programme Office comply with the statutory reporting requirements in a timely manner?
73,Finance - General,Does the Programme Office have an organizational structure including the setup of projects?
74,Finance - General,Are conflicts adequately treated in the National Finance Manual?
75,Finance - General,Does the Programme Office check if there are any conflicts between the National Finance Manual and local laws/regulations?
76,Finance - General,Is the Finance Manual updated periodically to integrate important changes?
77,Contrôles Internes,"Les descriptions de poste de tous les membres du personnel sont-elles approuvées, signées et conservées dans les dossiers des ressourcces humaines?"
78,Contrôles Internes,Le Bureau du Programme a-t-il établi et documenté un ensemble adéquat de contrôles internes?
79,Contrôles Internes,Les contrôles internes sont-ils revus régulièrement par des audits internes ou des audits externes annuels?
80,Contrôles Internes,Les procédures de traitement des factures permettent-elles de vérifier les documents pertinents et l'exactitude des calculs?
81,Contrôles Internes,Le Bureau du Programme dispose-t-il de la politique de signature et des documents de délégation de pouvoirs et sont-ils appliqués correctement?
82,Contrôles Internes,Le document de délégation de pouvoirs est-il revu / mis à jour annuellement pour assurer sa pertinence / validité?
83,Contrôles Internes,"Mettez-vous en œuvre des instructions de paiement bancaire à double signature, des chèques et des services bancaires en ligne?"
84,Contrôles Internes,Mettez-vous en place des contrôles sur la gestion de la trésorerie conformément aux règles internes?
85,Contrôles Internes,Assurez-vous que personne n'a un accès non autorisé aux outils de mots de passe des connexions bancaires en ligne?
86,Contrôles Internes,"Le document de séparation des tâches pour les responsabilités du personnel est-il établi et appliqué? (par exemple, entre le caissier et le comptable)"
87,Contrôles Internes,"Le Bureau du Programme prépare-t-il des rapports financiers mensuels signés au Siège Social, y compris le bilan, l'état des revenus et des dépenses en temps opportun?"
88,Contrôles Internes,Le Bureau du Programme tient-il à jour la planification des flux de trésorerie?
89,Contrôles Internes,Le Bureau du Programme informe-t-il le Siège Social en cas de modification du plan de trésorerie?
90,Contrôles Internes,"Le Bureau du Programme envoie-t-il une confirmation écrite de la réception des fonds au Siège Social (avec les détails des fonds reçus, le taux de change, etc.) lorsque les fonds sont crédités sur le compte bancaire du Bureau du Programme?"
91,Contrôles Internes,Le Bureau du Projet envoie-t-il une confirmation écrite de la réception des fonds du Bureau du Programme lorsque les fonds sont crédités sur le compte bancaire du Bureau du Projet?
92,Contrôles Internes,Le Bureau du Programme rapproche-t-il les transferts de fonds effectués vers les Bureaux du Projet en comparant les données comptables du Bureau du Programme et celles du Projet?
93,Contrôles Internes,Le Bureau du Programme assure-t-il une couverture d'assurance adéquate et continue pour toutes les immobilisations dans toutes les unités du Projet?
94,Contrôles Internes,"Existe-t-il un système de garanties adéquates pour protéger les actifs contre la fraude, le gaspillage ou l'utilisation abusive?"
95,Contrôles Internes,La vente et la cession des immobilisations sont-elles mises en œuvre conformément à la politique définie dans le manuel financier national?
96,Contrôles Internes,Des contrôles réguliers sont-ils effectués sur l'utilisation des véhicules et leur kilométrage?
97,Contrôles Internes,L'utilisation exceptionnelle à des fins privées des véhicules du bureau est-elle surveillée ainsi que les coûts recouvrés auprès du personnel concerné?
98,Contrôles Internes,Les transactions comptables dans le logiciel Banana sont-elles vérifiées par recoupement avec les pièces justificatives physiques à intervalles réguliers?
99,Contrôles Internes,Des contrôles sont-ils effectués sur l'exactitude des pièces justificatives et des documents probants qui les composent?
100,Contrôles Internes,Les contrôles sont-ils effectués sur l'exactitude du calcul des avances de voyage et des notes de frais et sont-ils approuvés par la focntion concernée?
101,Contrôles Internes,Toutes les avances et leurs réglements sont-ils contrôlés systématiquement (en utilisant une fiche de suivi des avances)?
102,Contrôles Internes,Les demandes de fonds envoyées au Bureau du Programme sont-elles vérifiées et approuvées par les signataires autorisées?
103,Contrôles Internes,Les demandes de fonds sont-elles vérifiées et signées par la personne autorisée pour confirmer leur exactitude / limite par rapport au budget annuel approuvé?
104,Contrôles Internes,Les demandes de fonds mensuelles envoyées au Siège Social sont-elles examinées et approuvées par les signataires autorisés?
105,Contrôles Internes,Les virements de fonds mensuels aux projets sont-ils vérifiés et approuvés par des signataires autorisés avant l'émission d'instructions à la banque pour le virement?
106,Contrôles Internes,"Le fichier comptable mensuel Banana, les rapports financiers et les annexes à soumettre au Bureau du Programme sont-ils vérifiés et approuvés par des personnes autorisées?"
107,Contrôles Internes,"Les états de rapprochement bancaire mensuels sont-ils vérifiés avec les documents comptables, les relevés bancaires et approuvés par le signataire autorisé?"
108,Contrôles Internes,Les vérifications des actifs physiques sont-elles effectuées par rapport au registre des actifs sur une base annuelle (minimum)?
109,Contrôles Internes,Le paiement en espèces est-il effectué dans la limite spécifiée dans le manuel financier national?
110,Contrôles Internes,L'argent liquide est-il stocké dans un coffre-fort sous clé?
111,Contrôles Internes,Des reçus sont-ils délivrés contre réception d'espèces?
112,Contrôles Internes,"La liste des signataires autorisés à gérer des comptes bancaires est-elle examinée, vérifiée et mise à jour à intervalles réguliers?"
113,Contrôles Internes,Obtenez-vous la liste des signataires autorisés à gérer des comptes bancaires auprès de la banque et les présentez-vous aux auditeurs chaque année?
114,Contrôles Internes,"Les carnets de chèque sont-ils examinés, contrôles et stockés dans un endroit sûr?"
115,Contrôles Internes,Les copies des chèques signés émis aux vendeurs / prestataires de service / autres sont-elles conservées en tant que documents justificatifs?
116,Contrôles Internes,Les rapports financiers mensuels produits à partir du fichier comptable Banana sont-ils vérifiés et signés par les signataires autorisés?
117,Budgetary Control,Does the PM conduct the budget monitoring on a monthly basis?
118,Budgetary Control,Does the Banana accounting file contain the latest approved version of project budgets?
119,Budgetary Control,Do you carry out variances analysis between budget and actual and take corrective measures in a time bound manner?
120,Budgetary Control,Does the CD review and analyse the Contribution Margin Report on a Semester basis?
121,Budgetary Control,Does the CD monitor the controls performed by the PM over the budget monitoring and corrective measures initiated?
122,Budgetary Control,Does the CD monitor the working hours for the Country portfolio/projects?
123,Budgetary Control,"Does the Programme Office provide the relevant data, reports/information to project staff to aid them monitor the financial progress of the respective projects?"
124,Reglamento de Personal,"¿Cuenta la Oficina del Programa con reglamentos nacionales de personal, incluida una escala salarial, adaptados y conformes con la legislación local y las directrices de la Sede?"
125,Reglamento de Personal,"Cuando se contrata personal nuevo, ¿se asegura que las personas más idóneas sean contratadas de manera transparente y eficiente?"
126,Reglamento de Personal,"¿Se asegura la política de igualdad de oportunidades (género, etnia, idioma) en el proceso de contratación?"
127,Reglamento de Personal, ¿La Oficina de Programa País se asegura  de que sus empleados cumplan con sus deberes de acuerdo con sus contratos de trabajo?
128,Reglamento de Personal,¿La Oficina de Programa País se asegura de que sus empleados respeten las leyes y obligaciones vigentes con respecto a su empleo?
129,Reglamento de Personal,¿Están disponibles los términos de referencia o las descripciones de puestos para todos los puestos en la Oficina de Programa  País y  en los proyectos?
130,Reglamento de Personal,¿Se verifica regularmente el desempeño del personal con una evaluación anual y se acuerdan las medidas de desarrollo necesarias?
131,Reglamento de Personal,¿Se dispone de las medidas necesarias para desarrollar las competencias del personal?
132,Reglamento de Personal,¿Se administran de manera regular y efectiva los aspectos financieros de los contratos de trabajo?
133,Reglamento de Personal,¿Se prepara la planilla de sueldos  (nómina) siguiendo los reglamentos estatales apropiados y el Reglamento Nacional de Personal de la Oficina de Programa País?
134,Reglamento de Personal,¿Se concilian mensualmente los registros de nómina con el Registro de Salarios?
135,Reglamento de Personal,"¿El Director de Programa País y el Director/Coordinador de proyecto supervisan mensualmente el registro de horas del personal local? (Para aquellos que se registran en Sangama, sobre la base de los informes de Sangama Time; y para aquellos que mantienen en Excel (u otras herramientas), informes relevantes)"
136,Reglamento de Personal,¿La Oficina de Programa País cuenta con  un proceso oportuno para llenar los puestos vacantes o en caso de ausencias del personal local con el fin de evitar la interrupción de los servicios del programa o la interrupción de las operaciones de la organización?
137,Reglamento de Personal,¿Se cumplen las normas y procedimientos pertinentes en caso de rescisión de los contratos de trabajo?
138,Reglamento de Personal,"Si la Legislación Nacional lo requiere, ¿se establece un sistema de Fondo de Gratuidad (beneficio terminal/indemnización) de acuerdo con las instrucciones del Manual de Finanzas  de la Sedey administrado por la Oficina dePrograma País con base en las regulaciones nacionales?"
139,Controles internos,¿La Oficina de Programa País ha establecido y documentado un conjunto adecuado de controles internos?
140,Controles internos,¿Los controles internos son revisados periódicamente por auditorías internas o externas anuales?
141,Controles internos,¿La Oficina de Programa País cuenta con los documentos de política de firmas y autoridad delegada y se aplican correctamente?
142,Controles internos,¿ El “Documento de Autoridad Delegada” es revisado/actualizado anualmente para asegurar su relevancia/validez?
143,Controles internos,"¿La Oficina de Programa  País prepara informes financieros mensuales firmados para la Sede, incluyendo el Balance General, el Estado de Ingresos y Gastos de manera oportuna?"
144,Controles internos,¿ La Oficina de Programa País mantiene actualizada la planificación del flujo de caja?
145,Controles internos,¿ La Oficina de Programa País notifica a la Sede en caso de cambios en la planificación del  flujo de caja?
146,Controles internos," ¿ La Oficina de Programa País envía una confirmación por escrito de la recepción de los fondos a la Sedel (con detalles de los fondos recibidos, tipo de cambio, etc.) cuando los fondos se acreditan en la cuenta bancaria de la Oficina de Programa?"
147,Controles internos,¿Concilia la Oficina dePrograma País as transferencias de fondos realizadas a las proyectos comparando los datos contables del proyecto?
148,Controles internos,¿La Oficina de Programa País garantiza una cobertura de seguro adecuada y continua para todos los activos fijos en la Oficina de Programa País y en todos los proyectos?
149,Controles internos,¿Las solicitudes de fondos enviadas a la Sede son revisadas y aprobadas por los funcionarios autorizados?
150,Controles internos,"¿Se revisa, verifica y actualiza periódicamente la lista de funcionarios con firmas  autorizadas para operar cuentas bancarias?"
151,Controles internos,¿Obtiene usted la lista de funcionarios con firma autorizada para operar cuentas bancarias del banco y la presenta a los auditores anualmente?
152,Controles internos,"¿Están aprobadas, firmadas y almacenadas las Descripciones de Funciones/Puestos de  todos los miembros del personal  en los archivos de Recursos Humanos?"
153,Controles internos,¿ Los procedimientos de procesamiento de facturas prevén  la verificación de documentos relevantes y la precisión de los cálculos?
154,Controles internos,"¿Implementa usted las instrucciones de pagos bancarios de doble firma, cheques y banca electrónica?"
155,Controles internos,¿Implementa usted controles sobre la gestión de efectivo según las normas internas?
156,Controles internos, ¿Se asegura de que nadie tenga acceso no autorizado a las herramientas de contraseñas de las conexiones de banca electrónica?
157,Controles internos,"¿Está establecido y aplicado el documento de segregación de funciones para las responsabilidades del personal? (Por ejemplo, entre cajero y contador)"
158,Controles internos, ¿El proyecto envía una confirmación por escrito de la recepción de fondos cuando los fondos se acreditan en la cuenta bancaria del proyecto?
159,Controles internos,"¿Existe un sistema de salvaguardias adecuadas para proteger los activos contra el fraude, el despilfarro o el uso indebido?"
160,Controles internos,¿Se implementan la venta y disposición de activos fijos según la política establecida en el Manual Nacional de Finanzas?
161,Controles internos, ¿Se realizan controles regulares sobre el uso de los vehículos y su kilometraje?
162,Controles internos, ¿Se supervisa el uso privado excepcional de los vehículos de oficina y se recuperan los costos del personal en cuestión?
163,Controles internos,¿Se comparan  las transacciones contables de Banana con los comprobantes físicos a intervalos regulares?
164,Controles internos,¿Se realizan controles sobre la exactitud del comprobante y la existencia de documentos de respaldo adecuados?
165,Controles internos,¿Los controles se realizan sobre la corrección del cálculo de los anticipos de viaje y las solicitudes de reembolso  de gastos y se aprueban por  el superior inmediato?
166,Controles internos,¿Se controlan sistemáticamente todos los anticipos y sus liquidaciones (usando la hoja de control de anticipos)?
167,Controles internos,¿Las solicitudes de fondos enviadas a la Oficina de Programa País son verificadas y aprobadas por los funcionarios  autorizados?
168,Controles internos,¿Las solicitudes de fondos son verificadas y firmadas por la persona autorizada para confirmar su corrección en cuanto a los límites del presupuesto aprobado anualmente?
169,Controles internos,¿Las transferencias de fondos mensuales a los proyectos son verificadas y aprobadas por los funcionarios autorizados antes de emitir las instrucciones al banco para la transferencia?
170,Controles internos,"¿Verifican y aprueban las personas autorizadas el archivo contable mensual Banana, los informes financieros y los anexos para su presentación a la Oficina dePrograma País?"
171,Controles internos,"¿Se verifican los estados de conciliación bancaria mensuales con los registros contables, los extractos bancarios y son aprobados, a través de su firma,  por el funcionario autorizado?"
172,Controles internos,¿Se realizan las verificaciones de los activos físicos contra el registro de activos anualmente (como mínimo)?
173,Controles internos,¿Los pagos en efectivo se realizan dentro del límite especificado en el manual de finanzas nacionales?
174,Controles internos, ¿el efectivo físico se almacena en una caja fuerte bajo llave?
175,Controles internos,"¿Se emiten ""recibos"" cuando se recibe dinero en efectivo?"
176,Controles internos,"¿Los talonarios de cheques son revisados, controlados y guardados en un lugar seguro ?"
177,Controles internos,¿Las copias de los cheques firmados emitidos a proveedores/proveedores de servicios/otros se guardan como parte de la documentación del comprobante?
178,Controles internos,¿Los informes financieros mensuales emitidos a partir del sistema contable Banana son verificados y firmados por los funcionarios autorizados?
179,Audit,La société d'audit sélectionnée pour l'audit annuel du groupe est-elle approuvée par notre principal donateur DDC sur une base annuelle avant la signature du contrat d'audit?
180,Audit,L'audit national annuel est-il effectué sur la base des termes de référence approuvés de l'Audit du Groupe et conformément aux instructions émises par le Siège Social?
181,Audit,Le Bureau du Programme suit-il et met-il en œuvre systématiquement les améliorations requises sur la base des recommandations d'audit?
182,Audit,Does the Programme Office systematically track and implement required improvements based on audit recommendations?
183,Audit,Is the annual national audit performed based on approved Group Audit ToR and as per instructions issued by the Head office?
184,Audit,Is the selected audit company for Annual Group Audit approved by our main donor SDC on a yearly basis prior to signature of the audit contract?
185,Règlement du Personnel,"Le Bureau du Programme a-t-il un règlement national du personnel, y compris une échelle de salaire, adapté et conforme à la législation locale et aux directives du Siège?"
186,Règlement du Personnel,"Lors de l'embauche de nouveau personnel, veille-t-on à ce que les personnes les plus appropriées soient recrutées de manière transparente et efficace?"
187,Règlement du Personnel,"La politique d'égalité des chances est-elle assurée (genre, ethnie, langue) dans le processus de recrutement?"
